community_name,district,sub_district,total_price,unit_price,floor_area,layout,rooms,halls,floor,total_floors,orientation,decoration,construction_year,building_age,near_subway,listing_time,listing_link,floor_type,decoration_level,floor_type_encoded,orientation_south,district_Binjiang,district_Fuyang,district_Gongshu,district_Jianggan,district_Linan,district_Linping,district_Qiantang,district_Shangcheng,district_Xiacheng,district_Xiaoshan,district_Xihu,district_Yuhang,floor_ratio,price_per_room,area_per_room,age_category,area_category,price_category
Hubin Bay,Xiaoshan,Beigan,269.9,23778.0,113.5,2BR 1LR,2,1,High Floor,11.0,Northwest,Fine,2014.0,12.0,1,147 days ago,https://hz.lianjia.com/ershoufang/100000014.html,High Floor,3,2,0,False,False,False,False,False,False,False,False,False,True,False,False,0.75,134.95,56.75,10-15yr,90-120sqm,2-3M
Wangjiang Apartment,Yuhang,Cangqian,374.5,33022.0,113.4,1BR 1LR,1,1,High Floor,18.0,Southeast,Unfinished,2009.0,17.0,1,128 days ago,https://hz.lianjia.com/ershoufang/100000015.html,High Floor,0,2,1,False,False,False,False,False,False,False,False,False,False,False,True,0.75,374.5,113.4,15-20yr,90-120sqm,3-4M
Cuiyuan Complex,Gongshu,Xiangfu,85.7,13205.0,64.9,5BR 3LR,5,3,High Floor,18.0,Southwest,Medium,2021.0,5.0,0,119 days ago,https://hz.lianjia.com/ershoufang/100000016.html,High Floor,2,2,1,False,False,True,False,False,False,False,False,False,False,False,False,0.75,17.14,12.98,0-5yr,50-70sqm,<1M
Jinmao Garden,Gongshu,Kangqiao,387.8,41747.0,92.9,3BR 2LR,3,2,Middle Floor,33.0,North-South,Fine,2010.0,16.0,1,48 days ago,https://hz.lianjia.com/ershoufang/100000017.html,Middle Floor,3,1,1,False,False,True,False,False,False,False,False,False,False,False,False,0.5,129.26666666666668,30.96666666666667,15-20yr,90-120sqm,3-4M
Vanke Complex,Gongshu,Daguan,346.1,42420.0,81.6,2BR 1LR,2,1,High Floor,6.0,North-South,Luxury,2012.0,14.0,1,160 days ago,https://hz.lianjia.com/ershoufang/100000018.html,High Floor,4,2,1,False,False,True,False,False,False,False,False,False,False,False,False,0.75,173.05,40.8,10-15yr,70-90sqm,3-4M
Jinmao Place,Linan,Central,176.4,21570.0,81.8,3BR 2LR,3,2,High Floor,33.0,Southeast,Simple,2023.0,3.0,1,127 days ago,https://hz.lianjia.com/ershoufang/100000019.html,High Floor,1,2,1,False,False,False,False,True,False,False,False,False,False,False,False,0.75,58.800000000000004,27.266666666666666,0-5yr,70-90sqm,1.5-2M
CIFI Complex,Binjiang,Changhe,497.5,46936.0,106.0,3BR 2LR,3,2,High Floor,18.0,East,Fine,2022.0,4.0,1,36 days ago,https://hz.lianjia.com/ershoufang/100000020.html,High Floor,3,2,0,True,False,False,False,False,False,False,False,False,False,False,False,0.75,165.83333333333334,35.333333333333336,0-5yr,90-120sqm,4-5M
Fuxing Center,Fuyang,Central,403.8,30292.0,133.3,4BR 2LR,4,2,Middle Floor,33.0,North-South,Simple,2009.0,17.0,1,153 days ago,https://hz.lianjia.com/ershoufang/100000021.html,Middle Floor,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,0.5,100.95,33.325,15-20yr,120-150sqm,4-5M
Sunac City,Xihu,Zhuantang,424.5,43809.0,96.9,1BR 1LR,1,1,High Floor,18.0,South,Luxury,2006.0,20.0,1,116 days ago,https://hz.lianjia.com/ershoufang/100000022.html,High Floor,4,2,1,False,False,False,False,False,False,False,False,False,False,True,False,0.75,424.5,96.9,15-20yr,90-120sqm,4-5M
Jingfang Complex,Jianggan,Central,145.2,21077.0,68.9,2BR 1LR,2,1,High Floor,33.0,South,Medium,2009.0,17.0,0,90 days ago,https://hz.lianjia.com/ershoufang/100000023.html,High Floor,2,2,1,False,False,False,True,False,False,False,False,False,False,False,False,0.75,72.6,34.45,15-20yr,50-70sqm,1-1.5M
Cuiyuan World,Shangcheng,Nanxing,451.3,38738.0,116.5,2BR 1LR,2,1,High Floor,25.0,Southeast,Simple,2008.0,18.0,0,76 days ago,https://hz.lianjia.com/ershoufang/100000024.html,High Floor,1,2,1,False,False,False,False,False,False,False,True,False,False,False,False,0.75,225.65,58.25,15-20yr,90-120sqm,4-5M
Ziyang Mansion,Xiaoshan,Xintang,208.8,26773.0,78.0,1BR 1LR,1,1,High Floor,18.0,South,Unfinished,2017.0,9.0,1,101 days ago,https://hz.lianjia.com/ershoufang/100000025.html,High Floor,0,2,1,False,False,False,False,False,False,False,False,False,True,False,False,0.75,208.8,78.0,5-10yr,70-90sqm,2-3M
Jinjiang Bay,Jianggan,Central,628.4,51888.0,121.1,1BR 1LR,1,1,High Floor,18.0,Southeast,Simple,2001.0,25.0,0,128 days ago,https://hz.lianjia.com/ershoufang/100000026.html,High Floor,1,2,1,False,False,False,True,False,False,False,False,False,False,False,False,0.75,628.4,121.1,20-30yr,120-150sqm,>5M
Gemdale Garden,Xiaoshan,Chengxiang,226.1,20513.0,110.2,3BR 2LR,3,2,High Floor,7.0,West,Fine,2006.0,20.0,1,29 days ago,https://hz.lianjia.com/ershoufang/100000027.html,High Floor,3,2,0,False,False,False,False,False,False,False,False,False,True,False,False,0.75,75.36666666666666,36.733333333333334,15-20yr,90-120sqm,2-3M
Sanliting Court,Shangcheng,Nanxing,305.1,51372.0,59.4,1BR 1LR,1,1,High Floor,6.0,South,Simple,1997.0,29.0,0,120 days ago,https://hz.lianjia.com/ershoufang/100000028.html,High Floor,1,2,1,False,False,False,False,False,False,False,True,False,False,False,False,0.75,305.1,59.4,20-30yr,50-70sqm,3-4M
Wensan Garden,Yuhang,Gouzhuang,216.3,26284.0,82.3,2BR 1LR,2,1,High Floor,32.0,East-West,Medium,2011.0,15.0,0,12 days ago,https://hz.lianjia.com/ershoufang/100000029.html,High Floor,2,2,0,False,False,False,False,False,False,False,False,False,False,False,True,0.75,108.15,41.15,10-15yr,70-90sqm,2-3M
Yango World,Jianggan,Central,492.0,45429.0,108.3,1BR 1LR,1,1,Middle Floor,32.0,North,Medium,2012.0,14.0,0,76 days ago,https://hz.lianjia.com/ershoufang/100000030.html,Middle Floor,2,1,0,False,False,False,True,False,False,False,False,False,False,False,False,0.5,492.0,108.3,10-15yr,90-120sqm,4-5M
Desheng Community,Jianggan,Central,420.2,46378.0,90.6,3BR 2LR,3,2,Low Floor,18.0,South,Fine,2010.0,16.0,1,53 days ago,https://hz.lianjia.com/ershoufang/100000031.html,Low Floor,3,0,1,False,False,False,True,False,False,False,False,False,False,False,False,0.25,140.06666666666666,30.2,15-20yr,90-120sqm,4-5M
Yango Garden,Yuhang,Old Yuhang,238.7,24407.0,97.8,3BR 2LR,3,2,Low Floor,18.0,South,Fine,2011.0,15.0,0,174 days ago,https://hz.lianjia.com/ershoufang/100000032.html,Low Floor,3,0,1,False,False,False,False,False,False,False,False,False,False,False,True,0.25,79.56666666666666,32.6,10-15yr,90-120sqm,2-3M
Sunac Homeland,Yuhang,Old Yuhang,248.5,28824.0,86.2,1BR 1LR,1,1,Middle Floor,33.0,North-South,Fine,2017.0,9.0,0,70 days ago,https://hz.lianjia.com/ershoufang/100000033.html,Middle Floor,3,1,1,False,False,False,False,False,False,False,False,False,False,False,True,0.5,248.5,86.2,5-10yr,70-90sqm,2-3M
Desheng Complex,Yuhang,Old Yuhang,100.6,11283.0,89.2,3BR 2LR,3,2,Low Floor,18.0,North-South,Fine,2025.0,1.0,0,167 days ago,https://hz.lianjia.com/ershoufang/100000034.html,Low Floor,3,0,1,False,False,False,False,False,False,False,False,False,False,False,True,0.25,33.53333333333333,29.733333333333334,0-5yr,70-90sqm,1-1.5M
Yango World,Yuhang,Old Yuhang,227.5,20624.0,110.3,3BR 1LR,3,1,High Floor,18.0,South,Luxury,2018.0,8.0,1,149 days ago,https://hz.lianjia.com/ershoufang/100000035.html,High Floor,4,2,1,False,False,False,False,False,False,False,False,False,False,False,True,0.75,75.83333333333333,36.766666666666666,5-10yr,90-120sqm,2-3M
Fuxing Homeland,Shangcheng,Xiaoying,280.7,58123.0,48.3,1BR 1LR,1,1,High Floor,18.0,Southwest,Medium,2008.0,18.0,1,16 days ago,https://hz.lianjia.com/ershoufang/100000036.html,High Floor,2,2,1,False,False,False,False,False,False,False,True,False,False,False,False,0.75,280.7,48.3,15-20yr,<50sqm,2-3M
Qingbo Mansion,Qiantang,Xiasha,348.8,24107.0,144.7,2BR 2LR,2,2,Middle Floor,11.0,North-South,Fine,2025.0,1.0,1,155 days ago,https://hz.lianjia.com/ershoufang/100000037.html,Middle Floor,3,1,1,False,False,False,False,False,False,True,False,False,False,False,False,0.5,174.4,72.35,0-5yr,120-150sqm,3-4M
Jinmao Homeland,Yuhang,Wuchang,157.4,14698.0,107.1,4BR 2LR,4,2,High Floor,33.0,Northeast,Fine,2025.0,1.0,1,30 days ago,https://hz.lianjia.com/ershoufang/100000038.html,High Floor,3,2,0,False,False,False,False,False,False,False,False,False,False,False,True,0.75,39.35,26.775,0-5yr,90-120sqm,1.5-2M
Hubin Garden,Linan,Central,275.2,20460.0,134.5,5BR 3LR,5,3,Middle Floor,11.0,North-South,Luxury,2022.0,4.0,0,98 days ago,https://hz.lianjia.com/ershoufang/100000039.html,Middle Floor,4,1,1,False,False,False,False,True,False,False,False,False,False,False,False,0.5,55.04,26.9,0-5yr,120-150sqm,2-3M
Sanliting Plaza,Shangcheng,Hubin,318.4,50624.0,62.9,3BR 2LR,3,2,High Floor,25.0,East,Medium,2002.0,24.0,1,51 days ago,https://hz.lianjia.com/ershoufang/100000040.html,High Floor,2,2,0,False,False,False,False,False,False,False,True,False,False,False,False,0.75,106.13333333333333,20.966666666666665,20-30yr,50-70sqm,3-4M
Daguan Place,Gongshu,Xiangfu,409.9,43933.0,93.3,3BR 2LR,3,2,Low Floor,6.0,South,Medium,2013.0,13.0,0,12 days ago,https://hz.lianjia.com/ershoufang/100000041.html,Low Floor,2,0,1,False,False,True,False,False,False,False,False,False,False,False,False,0.25,136.63333333333333,31.099999999999998,10-15yr,90-120sqm,4-5M
Greentown Place,Fuyang,Central,327.1,24482.0,133.6,3BR 2LR,3,2,High Floor,25.0,North,Fine,2005.0,21.0,0,82 days ago,https://hz.lianjia.com/ershoufang/100000042.html,High Floor,3,2,0,False,True,False,False,False,False,False,False,False,False,False,False,0.75,109.03333333333335,44.53333333333333,20-30yr,120-150sqm,3-4M
Jingfang Garden,Jianggan,Central,380.1,34491.0,110.2,2BR 2LR,2,2,High Floor,18.0,North-South,Fine,2014.0,12.0,0,132 days ago,https://hz.lianjia.com/ershoufang/100000043.html,High Floor,3,2,1,False,False,False,True,False,False,False,False,False,False,False,False,0.75,190.05,55.1,10-15yr,90-120sqm,3-4M
Jinmao Homeland,Binjiang,Puyan,512.9,48068.0,106.7,1BR 1LR,1,1,Low Floor,18.0,Southeast,Medium,2013.0,13.0,1,95 days ago,https://hz.lianjia.com/ershoufang/100000044.html,Low Floor,2,0,1,True,False,False,False,False,False,False,False,False,False,False,False,0.25,512.9,106.7,10-15yr,90-120sqm,>5M
Xiaoying New Village,Jianggan,Central,219.9,33668.0,65.3,3BR 2LR,3,2,High Floor,18.0,North-South,Luxury,2008.0,18.0,1,21 days ago,https://hz.lianjia.com/ershoufang/100000045.html,High Floor,4,2,1,False,False,False,True,False,False,False,False,False,False,False,False,0.75,73.3,21.766666666666666,15-20yr,50-70sqm,2-3M
Evergrande New Village,Xihu,Wensan Road,256.8,37768.0,68.0,1BR 1LR,1,1,Middle Floor,11.0,North-South,Fine,2009.0,17.0,0,56 days ago,https://hz.lianjia.com/ershoufang/100000046.html,Middle Floor,3,1,1,False,False,False,False,False,False,False,False,False,False,True,False,0.5,256.8,68.0,15-20yr,50-70sqm,2-3M
Ziyang Complex,Qiantang,Dajiangdong,231.0,20753.0,111.3,3BR 2LR,3,2,Low Floor,11.0,North-South,Medium,2025.0,1.0,0,130 days ago,https://hz.lianjia.com/ershoufang/100000047.html,Low Floor,2,0,1,False,False,False,False,False,False,True,False,False,False,False,False,0.25,77.0,37.1,0-5yr,90-120sqm,2-3M
Longfor Complex,Yuhang,Wuchang,366.2,34612.0,105.8,3BR 2LR,3,2,Middle Floor,18.0,South,Simple,2025.0,1.0,0,17 days ago,https://hz.lianjia.com/ershoufang/100000048.html,Middle Floor,1,1,1,False,False,False,False,False,False,False,False,False,False,False,True,0.5,122.06666666666666,35.266666666666666,0-5yr,90-120sqm,3-4M
Jinmao City,Xihu,Sandun,321.0,51192.0,62.7,4BR 2LR,4,2,High Floor,25.0,East,Medium,2011.0,15.0,0,111 days ago,https://hz.lianjia.com/ershoufang/100000049.html,High Floor,2,2,0,False,False,False,False,False,False,False,False,False,False,True,False,0.75,80.25,15.675,10-15yr,50-70sqm,3-4M
Gemdale Mansion,Yuhang,Gouzhuang,202.3,21702.0,93.2,2BR 2LR,2,2,Middle Floor,25.0,Northwest,Fine,2007.0,19.0,1,70 days ago,https://hz.lianjia.com/ershoufang/100000050.html,Middle Floor,3,1,0,False,False,False,False,False,False,False,False,False,False,False,True,0.5,101.15,46.6,15-20yr,90-120sqm,2-3M
Country Garden Mansion,Xihu,Wenxin,220.1,30355.0,72.5,2BR 2LR,2,2,High Floor,11.0,South,Fine,2012.0,14.0,0,6 days ago,https://hz.lianjia.com/ershoufang/100000051.html,High Floor,3,2,1,False,False,False,False,False,False,False,False,False,False,True,False,0.75,110.05,36.25,10-15yr,70-90sqm,2-3M
CR Land New Village,Jianggan,Central,350.7,32809.0,106.9,2BR 1LR,2,1,Middle Floor,25.0,South,Fine,2008.0,18.0,1,19 days ago,https://hz.lianjia.com/ershoufang/100000052.html,Middle Floor,3,1,1,False,False,False,True,False,False,False,False,False,False,False,False,0.5,175.35,53.45,15-20yr,90-120sqm,3-4M
CIFI Community,Xihu,Cuiyuan,464.2,53113.0,87.4,3BR 2LR,3,2,Low Floor,32.0,North-South,Luxury,1995.0,31.0,1,178 days ago,https://hz.lianjia.com/ershoufang/100000053.html,Low Floor,4,0,1,False,False,False,False,False,False,False,False,False,False,True,False,0.25,154.73333333333332,29.133333333333336,30yr+,70-90sqm,4-5M
Daguan Complex,Linan,Central,175.7,19305.0,91.0,5BR 2LR,5,2,Low Floor,33.0,North-South,Luxury,2006.0,20.0,0,72 days ago,https://hz.lianjia.com/ershoufang/100000055.html,Low Floor,4,0,1,False,False,False,False,True,False,False,False,False,False,False,False,0.25,35.14,18.2,15-20yr,90-120sqm,1.5-2M
Wensan Villa,Fuyang,Central,308.0,26577.0,115.9,4BR 2LR,4,2,High Floor,25.0,North-South,Fine,2021.0,5.0,0,104 days ago,https://hz.lianjia.com/ershoufang/100000056.html,High Floor,3,2,1,False,True,False,False,False,False,False,False,False,False,False,False,0.75,77.0,28.975,0-5yr,90-120sqm,3-4M
Shimao Mansion,Jianggan,Central,131.3,31873.0,41.2,3BR 2LR,3,2,Low Floor,18.0,North,Medium,2015.0,11.0,0,179 days ago,https://hz.lianjia.com/ershoufang/100000057.html,Low Floor,2,0,0,False,False,False,True,False,False,False,False,False,False,False,False,0.25,43.76666666666667,13.733333333333334,10-15yr,<50sqm,1-1.5M
Xiaoying Place,Xiaoshan,Beigan,129.5,17061.0,75.9,3BR 2LR,3,2,Middle Floor,18.0,Southwest,Fine,2022.0,4.0,1,155 days ago,https://hz.lianjia.com/ershoufang/100000058.html,Middle Floor,3,1,1,False,False,False,False,False,False,False,False,False,True,False,False,0.5,43.166666666666664,25.3,0-5yr,70-90sqm,1-1.5M
Poly World,Yuhang,Xianlin,340.3,34101.0,99.8,4BR 2LR,4,2,Middle Floor,32.0,West,Simple,2022.0,4.0,1,157 days ago,https://hz.lianjia.com/ershoufang/100000059.html,Middle Floor,1,1,0,False,False,False,False,False,False,False,False,False,False,False,True,0.5,85.075,24.95,0-5yr,90-120sqm,3-4M
COLI Villa,Xiaoshan,Chengxiang,97.5,11417.0,85.4,4BR 2LR,4,2,High Floor,25.0,Southeast,Fine,2014.0,12.0,0,140 days ago,https://hz.lianjia.com/ershoufang/100000060.html,High Floor,3,2,1,False,False,False,False,False,False,False,False,False,True,False,False,0.75,24.375,21.35,10-15yr,70-90sqm,<1M
COLI Garden,Qiantang,Dajiangdong,302.2,27054.0,111.7,3BR 2LR,3,2,High Floor,7.0,East,Unfinished,2025.0,1.0,0,51 days ago,https://hz.lianjia.com/ershoufang/100000061.html,High Floor,0,2,0,False,False,False,False,False,False,True,False,False,False,False,False,0.75,100.73333333333333,37.233333333333334,0-5yr,90-120sqm,3-4M
Sanliting New Village,Yuhang,Cangqian,209.6,22083.0,94.9,5BR 3LR,5,3,Low Floor,18.0,North-South,Fine,1998.0,28.0,1,25 days ago,https://hz.lianjia.com/ershoufang/100000062.html,Low Floor,3,0,1,False,False,False,False,False,False,False,False,False,False,False,True,0.25,41.92,18.98,20-30yr,90-120sqm,2-3M
Daguan Villa,Linan,Central,213.2,20620.0,103.4,3BR 2LR,3,2,Middle Floor,33.0,South,Luxury,2012.0,14.0,0,88 days ago,https://hz.lianjia.com/ershoufang/100000063.html,Middle Floor,4,1,1,False,False,False,False,True,False,False,False,False,False,False,False,0.5,71.06666666666666,34.46666666666667,10-15yr,90-120sqm,2-3M
Xiaoying Villa,Gongshu,Daguan,374.6,34817.0,107.6,2BR 1LR,2,1,Middle Floor,33.0,Southeast,Fine,2010.0,16.0,1,141 days ago,https://hz.lianjia.com/ershoufang/100000064.html,Middle Floor,3,1,1,False,False,True,False,False,False,False,False,False,False,False,False,0.5,187.3,53.8,15-20yr,90-120sqm,3-4M
Jingfang Court,Jianggan,Central,299.8,24638.0,121.7,2BR 2LR,2,2,Middle Floor,18.0,North-South,Fine,2015.0,11.0,1,115 days ago,https://hz.lianjia.com/ershoufang/100000065.html,Middle Floor,3,1,1,False,False,False,True,False,False,False,False,False,False,False,False,0.5,149.9,60.85,10-15yr,120-150sqm,2-3M
COLI Apartment,Binjiang,Changhe,165.1,13839.0,119.3,3BR 1LR,3,1,High Floor,11.0,Northeast,Medium,2024.0,2.0,0,87 days ago,https://hz.lianjia.com/ershoufang/100000066.html,High Floor,2,2,0,True,False,False,False,False,False,False,False,False,False,False,False,0.75,55.03333333333333,39.766666666666666,0-5yr,90-120sqm,1.5-2M
Longfor Apartment,Linping,Central,324.1,26222.0,123.6,2BR 1LR,2,1,Middle Floor,11.0,Southeast,Medium,2025.0,1.0,0,92 days ago,https://hz.lianjia.com/ershoufang/100000067.html,Middle Floor,2,1,1,False,False,False,False,False,True,False,False,False,False,False,False,0.5,162.05,61.8,0-5yr,120-150sqm,3-4M
Cuiyuan Court,Xihu,Sandun,336.8,46395.0,72.6,3BR 2LR,3,2,High Floor,18.0,South,Medium,2007.0,13.0,0,161 days ago,https://hz.lianjia.com/ershoufang/100000068.html,High Floor,2,2,1,False,False,False,False,False,False,False,False,False,False,True,False,0.75,112.26666666666667,24.2,10-15yr,70-90sqm,3-4M
Fuxing Bay,Xihu,Wenxin,216.8,53791.0,40.3,4BR 2LR,4,2,Middle Floor,32.0,South,Medium,1994.0,32.0,0,37 days ago,https://hz.lianjia.com/ershoufang/100000069.html,Middle Floor,2,1,1,False,False,False,False,False,False,False,False,False,False,True,False,0.5,54.2,10.075,30yr+,<50sqm,2-3M
Country Garden Court,Jianggan,Central,251.2,19263.0,130.4,2BR 2LR,2,2,Middle Floor,32.0,South,Simple,2005.0,21.0,0,103 days ago,https://hz.lianjia.com/ershoufang/100000070.html,Middle Floor,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,0.5,125.6,65.2,20-30yr,120-150sqm,2-3M
Sanliting New Village,Xihu,Wenxin,282.4,49536.0,57.0,2BR 1LR,2,1,High Floor,33.0,Southwest,Fine,1994.0,32.0,1,34 days ago,https://hz.lianjia.com/ershoufang/100000071.html,High Floor,3,2,1,False,False,False,False,False,False,False,False,False,False,True,False,0.75,141.2,28.5,30yr+,50-70sqm,2-3M
Qingbo Plaza,Xiaoshan,Chengxiang,429.7,40233.0,106.8,2BR 1LR,2,1,Low Floor,25.0,North,Medium,2002.0,24.0,1,130 days ago,https://hz.lianjia.com/ershoufang/100000072.html,Low Floor,2,0,0,False,False,False,False,False,False,False,False,False,True,False,False,0.25,214.85,53.4,20-30yr,90-120sqm,4-5M
Zhaohui Community,Xihu,Sandun,539.2,73557.0,73.3,3BR 2LR,3,2,Middle Floor,11.0,South,Medium,2007.0,19.0,0,54 days ago,https://hz.lianjia.com/ershoufang/100000073.html,Middle Floor,2,1,1,False,False,False,False,False,False,False,False,False,False,True,False,0.5,179.73333333333335,24.433333333333334,15-20yr,70-90sqm,>5M
Ziyang Court,Binjiang,Xixing,467.8,48426.0,96.6,3BR 2LR,3,2,Middle Floor,7.0,Southeast,Medium,2010.0,16.0,1,40 days ago,https://hz.lianjia.com/ershoufang/100000074.html,Middle Floor,2,1,1,True,False,False,False,False,False,False,False,False,False,False,False,0.5,155.93333333333334,32.199999999999996,15-20yr,90-120sqm,4-5M
CR Land Court,Yuhang,Xianlin,263.1,17847.0,147.4,3BR 1LR,3,1,High Floor,11.0,East,Fine,2019.0,13.0,1,44 days ago,https://hz.lianjia.com/ershoufang/100000075.html,High Floor,3,2,0,False,False,False,False,False,False,False,False,False,False,False,True,0.75,87.7,49.13333333333333,10-15yr,120-150sqm,2-3M
Yango Center,Fuyang,Central,346.3,23305.0,148.6,1BR 1LR,1,1,Middle Floor,25.0,Northwest,Luxury,2006.0,20.0,0,109 days ago,https://hz.lianjia.com/ershoufang/100000076.html,Middle Floor,4,1,0,False,True,False,False,False,False,False,False,False,False,False,False,0.5,346.3,148.6,15-20yr,120-150sqm,3-4M
Sunac Homeland,Yuhang,Liangzhu,357.3,35512.0,100.6,5BR 3LR,5,3,Middle Floor,25.0,North-South,Simple,2023.0,3.0,0,59 days ago,https://hz.lianjia.com/ershoufang/100000077.html,Middle Floor,1,1,1,False,False,False,False,False,False,False,False,False,False,False,True,0.5,71.46000000000001,20.119999999999997,0-5yr,90-120sqm,3-4M
Greentown Apartment,Linping,Central,289.1,31774.0,91.0,4BR 2LR,4,2,Middle Floor,6.0,South,Simple,2009.0,17.0,0,168 days ago,https://hz.lianjia.com/ershoufang/100000078.html,Middle Floor,1,1,1,False,False,False,False,False,True,False,False,False,False,False,False,0.5,72.275,22.75,15-20yr,90-120sqm,2-3M
